time,ndvi
2020-01-31,0.50983554
2020-02-29,0.61440086
2020-03-31,0.4697308
2020-04-30,0.5996861
2020-05-31,0.6756123
2020-06-30,0.6014225
2020-07-31,0.44461146
2020-08-31,0.52831966
2020-09-30,0.5595377
2020-10-31,0.59442204
2020-11-30,0.4694876
2020-12-31,0.61167026
2021-01-31,0.5948736
2021-02-28,0.4396303
2021-03-31,0.57465434
2021-04-30,0.40753207
2021-05-31,0.3512347
2021-06-30,0.21107729
2021-07-31,0.5822663
2021-08-31,
2021-09-30,0.5106032
2021-10-31,0.5667648
2021-11-30,0.5460031
2021-12-31,0.53875977
2022-01-31,0.5908737
2022-02-28,0.40984905
2022-03-31,0.38914624
2022-04-30,
2022-05-31,
2022-06-30,0.69689375
2022-07-31,0.24669425
2022-08-31,0.58159155
2022-09-30,0.47393897
2022-10-31,0.46144372
2022-11-30,0.72738826
2022-12-31,0.6264094
2023-01-31,0.6442106
2023-02-28,0.52798086
2023-03-31,0.33014035
2023-04-30,
2023-05-31,0.6196258
2023-06-30,0.57325405
2023-07-31,
2023-08-31,
2023-09-30,0.48338914
2023-10-31,0.5805754
2023-11-30,0.5397248
2023-12-31,0.5666479
2024-01-31,0.5415515
2024-02-29,0.47157657
2024-03-31,0.47120836
2024-04-30,0.49360847
2024-05-31,0.437208
2024-06-30,0.30562964
2024-07-31,0.39363754
2024-08-31,0.4179657
2024-09-30,0.4943375
2024-10-31,0.45819333
2024-11-30,0.54828715
2024-12-31,0.5696529
2025-01-31,0.5876698
2025-02-28,
2025-03-31,
2025-04-30,0.5996342
2025-05-31,0.57839966
2025-06-30,0.86463284
2025-07-31,0.6230778
2025-08-31,0.64601177
2025-09-30,0.56422365
2025-10-31,0.5863073
2025-11-30,
2025-12-31,0.6197487
